nome,mapcategory,t_FBK,pop_10min,pop_15min,utenza_prevalente_calcolata,funzione_relazionale_calcolata,natura_calcolata,quadrante
"Scuola Provinciale dell'Infanzia ""M.C. CONOTTER""",Servizi pubblici e di comunità,15.3,1203,2388,Prevalentemente citizens,Bassa,Pubblico / istituzionale,Margine
Famiglia Cooperativa Povo,Commercio e servizi di prossimità,15.3,1371,1922,Entrambi,Media,Privato / economico,Margine
Bookcrossing,"Cultura, socialità e spazi comuni",19.7,1371,1586,Entrambi,Alta,Comunità / associazioni,Margine
Fontana - via Madonnina,"Patrimonio, memoria e fontane",19.9,1112,1893,Entrambi,Media,Pubblico / istituzionale,Margine
Agritur La Tenuta,Ristorazione e agriturismi,26.1,582,1640,Prevalentemente city users / visitatori,Bassa,Privato / economico,Margine
Agritur Verderame,Ristorazione e agriturismi,32.4,133,528,Prevalentemente city users / visitatori,Bassa,Privato / economico,Margine
Agritur Ponte Alto,Ristorazione e agriturismi,32.6,1297,1430,Prevalentemente city users / visitatori,Bassa,Privato / economico,Margine
Vigili del Fuoco,Servizi pubblici e di comunità,33.1,466,487,Prevalentemente citizens,Bassa,Comunità / associazioni,Margine
Forte Sella di Roncogno,"Patrimonio, memoria e fontane",60.5,186,186,Prevalentemente city users / visitatori,Media,Pubblico / istituzionale,Margine
"Lapide commemorativa di Giannantonio Manci, partigiano italiano, eroe della resistenza","Patrimonio, memoria e fontane",3.7,920,2642,Entrambi,Media,Pubblico / istituzionale,Orbita campus
Farmacia Comunale,Servizi pubblici e di comunità,3.7,920,2642,Entrambi,Media,Pubblico / istituzionale,Orbita campus
Ufficio Postale,Servizi pubblici e di comunità,3.8,920,2642,Entrambi,Media,Pubblico / istituzionale,Orbita campus
Bar In Centro,Ristorazione e agriturismi,4.0,920,2642,Entrambi,Media,Privato / economico,Orbita campus
Gelateria Dolomeis,Ristorazione e agriturismi,4.0,920,2642,Entrambi,Media,Privato / economico,Orbita campus
Mercato Settimanale,Commercio e servizi di prossimità,4.0,920,2642,Entrambi,Alta,Privato / economico,Orbita campus
Famigla Cooperativa Povo,Commercio e servizi di prossimità,4.0,920,2642,Entrambi,Bassa,Privato / economico,Orbita campus
Fontana - Piazza Manci,"Patrimonio, memoria e fontane",4.2,920,2642,Entrambi,Media,Pubblico / istituzionale,Orbita campus
Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Commercio e servizi di prossimità,4.6,988,2631,Entrambi,Bassa,Privato / economico,Orbita campus
Anfiteatro all'aperto,"Cultura, socialità e spazi comuni",4.9,988,2631,Entrambi,Alta,Pubblico / istituzionale,Orbita campus
Bar Al Canton,Ristorazione e agriturismi,4.9,913,2631,Entrambi,Media,Privato / economico,Orbita campus
Pane e non solo,Ristorazione e agriturismi,4.9,988,2631,Entrambi,Media,Privato / economico,Orbita campus
Monumento “Ai Caduti di tutte le Guerre” di Povo,"Patrimonio, memoria e fontane",5.2,988,2631,Entrambi,Media,Pubblico / istituzionale,Orbita campus
Centro Estetico,Commercio e servizi di prossimità,5.3,821,2631,Entrambi,Bassa,Privato / economico,Orbita campus
sala video Sergio Nichelatti,"Cultura, socialità e spazi comuni",5.6,1893,2642,Entrambi,Alta,Pubblico / istituzionale,Orbita campus
Pizzeria Orostube,Ristorazione e agriturismi,5.6,1425,2772,Entrambi,Media,Privato / economico,Orbita campus
Pizza Rio,Ristorazione e agriturismi,5.6,1425,2772,Entrambi,Bassa,Privato / economico,Orbita campus
Scuola Primaria Provinciale,Servizi pubblici e di comunità,5.6,1893,2642,Prevalentemente citizens,Bassa,Pubblico / istituzionale,Orbita campus
AB Cartocopisteria,Commercio e servizi di prossimità,5.6,821,3009,Entrambi,Bassa,Privato / economico,Orbita campus
Mercatino del Riuso,Servizi pubblici e di comunità,6.0,1893,2642,Entrambi,Alta,Comunità / associazioni,Orbita campus
Bookcrossing,"Cultura, socialità e spazi comuni",6.0,1893,2642,Entrambi,Alta,Pubblico / istituzionale,Orbita campus
Biblioteca Comunale,"Cultura, socialità e spazi comuni",6.0,1893,2642,Entrambi,Alta,Pubblico / istituzionale,Orbita campus
Sala Multiuso 2 presso Centro civico,"Cultura, socialità e spazi comuni",6.0,1893,2642,Entrambi,Alta,Pubblico / istituzionale,Orbita campus
Officina Meccanina Elettrauto Gommista,Commercio e servizi di prossimità,7.4,1621,2925,Entrambi,Bassa,Privato / economico,Orbita campus
Centro Servizi,Servizi pubblici e di comunità,8.1,748,995,Prevalentemente citizens,Bassa,Misto / convenzionato,Orbita campus
Casa Melograno,Servizi pubblici e di comunità,8.1,748,995,Prevalentemente citizens,Media,Misto / convenzionato,Orbita campus
Punto Prelievi,Servizi pubblici e di comunità,8.1,748,995,Entrambi,Media,Misto / convenzionato,Orbita campus
Casa Sociale,"Cultura, socialità e spazi comuni",6.3,2535,2827,Entrambi,Alta,Misto / convenzionato,PONTE ATTIVO
Bookcrossing,"Cultura, socialità e spazi comuni",9.3,2256,2976,Entrambi,Alta,Pubblico / istituzionale,PONTE ATTIVO
Cabina Fototessere,Commercio e servizi di prossimità,6.6,2535,2828,Entrambi,Bassa,Privato / economico,PONTE POTENZIALE
"Scuola Equiparata dell'Infanzia ""Angelina Lorenzini""",Servizi pubblici e di comunità,6.8,2263,2828,Prevalentemente citizens,Bassa,Misto / convenzionato,PONTE POTENZIALE
Agritur 8 Grappoli,Ristorazione e agriturismi,9.0,2263,3678,Prevalentemente city users / visitatori,Bassa,Privato / economico,PONTE POTENZIALE
