SEZ21_ID,POP21,FAM21,ABI21,EDI21
220610000107,0,0,2,2
220610000114,0,0,1,1
222050000239,11,4,6,2
222050000488,7,2,3,2
222050000545,0,0,1,1
222050000618,0,0,1,1
222050000619,0,0,1,1
222050000620,0,0,1,1
222050000621,0,0,1,1
222050000622,1,1,3,2
222050000623,0,0,1,1
222050000861,0,0,1,1
222050000874,2,1,3,2
222050001066,0,0,1,1
222050001069,0,0,1,1
222050001071,0,0,1,1
222050001077,0,0,1,1
222050001078,0,0,1,1
222050001085,0,0,1,1
222050001091,3,3,4,2
222050001098,0,0,1,1
222050001099,0,0,1,1
222050001101,0,0,1,1
222050001102,0,0,1,1
222050001106,0,0,1,1
222050001107,0,0,1,1
222050001165,0,0,1,1
222050001223,0,0,1,1
222050001224,0,0,1,0
222050001225,0,0,1,0
222050001275,0,0,1,1
